date	est	q025	q975
2021-04-01	401.3390091912714	392.1309739387602	410.763267896778
2021-04-02	407.49301835414224	398.419683785356	416.7729827746841
2021-04-03	414.21430962735593	405.2482003389991	423.37879392565367
2021-04-04	421.5034831577931	412.5694094307311	430.63102172140395
2021-04-05	429.3527790600871	420.31872723016085	438.58100280570113
2021-04-06	437.74634101765866	428.42169763617994	447.27393624464736
2021-04-07	446.66076565070716	436.8056997594058	456.73817828284865
2021-04-08	456.06599580365753	445.4110592568106	466.97581527372324
2021-04-09	465.9266174642443	454.19594917445664	477.9602575854082
2021-04-10	476.20361708175756	463.13398197982883	489.6420771206244
2021-04-11	486.85664857504383	472.2084737714374	501.95921807293286
2021-04-12	497.84684802188696	481.40786166327536	514.8471884713208
2021-04-13	509.14022050806494	490.7241201296114	528.2474480172976
2021-04-14	520.7116105118226	500.15386535627863	542.1143374122928
